航点序号,航点类型（1：起点，2：终点，3：区块内航点，4：区块间航点）,所属航线（0为区块间航线&起点，1-n为区块序号）,经度,纬度,高度信息（m）,原始高度（m）
1,1,0,121.88357054,31.51574537,25.03,0.00
2,4,0,121.88356007,31.51574344,25.03,0.00
3,4,0,121.88354960,31.51574150,25.03,0.00
4,4,0,121.88353913,31.51573957,25.03,0.00
5,4,0,121.88352865,31.51573764,25.03,0.00
6,4,0,121.88351818,31.51573571,25.03,19.97
7,4,0,121.88350771,31.51573377,25.03,19.93
8,3,1,121.88349733,31.51573577,20.03,19.96
9,3,1,121.88348695,31.51573777,20.03,19.97
10,3,1,121.88347657,31.51573977,20.03,19.99
11,3,1,121.88346619,31.51574177,20.03,19.97
12,3,1,121.88345582,31.51574377,20.03,19.96
13,3,1,121.88344544,31.51574577,20.03,19.94
14,3,1,121.88343506,31.51574777,20.03,19.94
15,3,1,121.88342468,31.51574977,20.03,19.93
16,3,1,121.88341430,31.51575177,20.03,19.92
17,3,1,121.88340392,31.51575377,20.03,19.93
18,3,1,121.88339354,31.51575577,20.03,19.94
19,3,1,121.88338316,31.51575777,20.03,19.95
20,3,1,121.88337278,31.51575977,20.03,19.94
21,3,1,121.88336240,31.51576177,20.03,19.96
22,3,1,121.88335202,31.51576377,20.03,19.97
23,3,1,121.88334164,31.51576577,20.03,19.98
24,3,1,121.88333126,31.51576777,20.03,20.00
25,3,1,121.88332088,31.51576977,20.03,20.01
26,3,1,121.88331050,31.51577176,20.03,20.04
27,3,1,121.88330012,31.51577376,20.03,20.03
28,3,1,121.88328974,31.51577576,20.03,20.02
29,3,1,121.88327936,31.51577776,20.03,20.01
30,3,1,121.88326898,31.51577976,20.03,19.98
31,3,1,121.88325860,31.51578176,20.03,20.00
32,3,1,121.88324822,31.51578376,20.03,20.00
33,3,1,121.88323784,31.51578576,20.03,19.99
34,3,1,121.88322747,31.51578776,20.03,20.00
35,3,1,121.88321709,31.51578976,20.03,20.02
36,3,1,121.88320671,31.51579176,20.03,20.00
37,3,1,121.88319633,31.51579376,20.03,19.98
38,3,1,121.88318595,31.51579576,20.03,19.99
39,3,1,121.88317557,31.51579776,20.03,20.00
40,3,1,121.88316519,31.51579976,20.03,19.99
41,3,1,121.88315481,31.51580176,20.03,20.02
42,3,1,121.88314443,31.51580376,20.03,20.03
43,3,1,121.88313405,31.51580576,20.03,20.02
44,3,1,121.88312367,31.51580776,20.03,20.03
45,3,1,121.88311329,31.51580976,20.03,20.04
46,3,1,121.88310291,31.51581175,20.03,20.04
47,3,1,121.88309253,31.51581375,20.03,20.06
48,3,1,121.88308215,31.51581575,20.03,20.07
49,3,1,121.88307177,31.51581775,20.03,20.10
50,3,1,121.88306139,31.51581975,20.03,20.12
51,3,1,121.88305101,31.51582175,20.03,20.15
52,3,1,121.88304063,31.51582375,20.03,20.13
53,3,1,121.88303025,31.51582575,20.03,20.10
54,3,1,121.88301987,31.51582775,20.03,20.09
55,3,1,121.88300949,31.51582975,20.03,20.10
56,3,1,121.88299911,31.51583175,20.03,20.07
57,3,1,121.88298874,31.51583375,20.03,20.08
58,3,1,121.88297836,31.51583575,20.03,20.10
59,3,1,121.88296798,31.51583775,20.03,20.09
60,3,1,121.88295760,31.51583975,20.03,20.10
61,3,1,121.88294722,31.51584175,20.03,20.09
62,3,1,121.88293684,31.51584375,20.03,20.08
63,3,1,121.88292646,31.51584575,20.03,20.10
64,3,1,121.88291608,31.51584775,20.03,20.12
65,3,1,121.88290570,31.51584974,20.03,20.15
66,3,1,121.88289532,31.51585174,20.03,20.11
67,3,1,121.88288494,31.51585374,20.03,20.13
68,3,1,121.88287456,31.51585574,20.03,20.13
69,3,1,121.88286418,31.51585774,20.03,20.14
70,3,1,121.88285380,31.51585974,20.03,20.11
71,3,1,121.88284342,31.51586174,20.03,20.07
72,3,1,121.88283304,31.51586374,20.03,20.08
73,3,1,121.88282266,31.51586574,20.03,20.04
74,3,1,121.88281228,31.51586774,20.03,20.06
75,3,1,121.88280190,31.51586974,20.03,20.03
76,3,1,121.88279152,31.51587174,20.03,20.01
77,4,0,121.88278925,31.51586308,24.72,19.76
78,3,2,121.88279963,31.51586108,19.72,19.80
79,3,2,121.88281001,31.51585908,19.72,19.80
80,3,2,121.88282039,31.51585708,19.72,19.80
81,3,2,121.88283077,31.51585509,19.72,19.80
82,3,2,121.88284115,31.51585309,19.72,19.82
83,3,2,121.88285153,31.51585109,19.72,19.84
84,3,2,121.88286191,31.51584909,19.72,19.87
85,3,2,121.88287229,31.51584709,19.72,19.89
86,3,2,121.88288267,31.51584509,19.72,19.86
87,3,2,121.88289305,31.51584309,19.72,19.83
88,3,2,121.88290343,31.51584109,19.72,19.82
89,3,2,121.88291381,31.51583909,19.72,19.83
90,3,2,121.88292419,31.51583709,19.72,19.82
91,3,2,121.88293457,31.51583509,19.72,19.80
92,3,2,121.88294495,31.51583309,19.72,19.83
93,3,2,121.88295532,31.51583109,19.72,19.80
94,3,2,121.88296570,31.51582909,19.72,19.79
95,3,2,121.88297608,31.51582709,19.72,19.80
96,3,2,121.88298646,31.51582509,19.72,19.78
97,3,2,121.88299684,31.51582309,19.72,19.79
98,3,2,121.88300722,31.51582109,19.72,19.78
99,3,2,121.88301760,31.51581909,19.72,19.80
100,3,2,121.88302798,31.51581710,19.72,19.80
101,3,2,121.88303836,31.51581510,19.72,19.81
102,3,2,121.88304874,31.51581310,19.72,19.88
103,3,2,121.88305912,31.51581110,19.72,19.82
104,3,2,121.88306950,31.51580910,19.72,19.77
105,3,2,121.88307988,31.51580710,19.72,19.76
106,3,2,121.88309026,31.51580510,19.72,19.74
